state_and_district_of_columbia,편의시설 수
도봉구,1228
은평구,1331
동대문구,745
동작구,1026
금천구,1376
구로구,1111
종로구,1197
강북구,952
중랑구,1130
강남구,2777
강서구,2243
중구,902
강동구,1855
광진구,950
마포구,1006
관악구,1460
서초구,1697
성북구,1202
노원구,1754
송파구,3199
성동구,908
서대문구,1051
양천구,910
영등포구,1343
용산구,814
