,place_id,place_name,lat,lng,place_address,category,facility_id,facility_available_name,facility_is_available
122,95,마장역,37.566127,127.042965,서울특별시 성동구,지하철,900205,장애인용 화장실,이용가능
124,97,마포역,37.539705,126.94604,서울특별시 마포구,지하철,900208,장애인용 화장실,이용가능
126,99,망원역,37.55597720000001,126.9012821,서울특별시 마포구,지하철,900215,장애인용 화장실,이용가능
128,101,매봉역,37.48703500000001,127.046918,서울특별시 강남구,지하철,900218,장애인용 화장실,이용가능
131,102,먹골역,37.61078,127.077707,서울특별시 중랑구,지하철,900222,장애인용 화장실,이용가능
132,103,면목역,37.588745,127.087494,서울특별시 중랑구,지하철,900223,장애인용 화장실,이용가능
135,104,명동역,37.5609892,126.9861868,서울특별시 중구,지하철,900227,장애인용 화장실,이용가능
137,105,명일역,37.55131,127.14401399999998,서울특별시 강동구,지하철,900231,장애인용 화장실,이용가능
138,108,목동역,37.526072,126.864301,서울특별시 양천구,지하철,900236,장애인용 화장실,이용가능
140,109,몽촌토성역,37.517641,127.11274,서울특별시 송파구,지하철,900239,장애인용 화장실,이용가능
142,110,무악재역,37.58263400000001,126.950134,서울특별시 서대문구,지하철,900242,장애인용 화장실,이용가능
145,111,문래역,37.5169837,126.8993953,서울특별시 영등포구,지하철,900245,장애인용 화장실,이용가능
146,113,미아역,37.626394,127.026132,서울특별시 강북구,지하철,900248,장애인용 화장실,이용가능
149,114,미아삼거리역,37.613251,127.030084,서울특별시 강북구,지하철,900250,장애인용 화장실,이용가능
151,116,반포역,37.508213,127.011847,서울특별시 서초구,지하철,900253,장애인용 화장실,이용가능
152,117,발산역,37.55868299999999,126.837595,서울특별시 강서구,지하철,900256,장애인용 화장실,이용가능
154,118,방배역,37.481512,126.997638,서울특별시 서초구,지하철,900258,장애인용 화장실,이용가능
156,119,방이역,37.50855900000001,127.12596,서울특별시 송파구,지하철,900260,장애인용 화장실,이용가능
159,121,방화역,37.577622,126.812826,서울특별시 강서구,지하철,900263,장애인용 화장실,이용가능
161,124,버티고개역,37.5478919,127.0071227,서울특별시 중구,지하철,900266,장애인용 화장실,이용가능
162,127,보라매역,37.499929,126.920282,서울특별시 영등포구,지하철,900267,장애인용 화장실,이용가능
165,128,보문역,37.585331,127.01939099999998,서울특별시 성북구,지하철,900272,장애인용 화장실,이용가능
167,129,복정역,37.470375,127.126685,서울특별시 송파구,지하철,900275,장애인용 화장실,이용가능
168,130,봉천역,37.482476,126.941574,서울특별시 관악구,지하철,900278,장애인용 화장실,이용가능
170,131,봉화산역,37.61180820000001,127.0882053,서울특별시 중랑구,지하철,900280,장애인용 화장실,이용가능
